"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20170713","목","23","부산광역시","기장군","일광면","5"
"20170713","목","23","부산광역시","기장군","정관읍","25"
"20170713","목","23","부산광역시","기장군","철마면","5"
"20170713","목","23","부산광역시","남구","대연동","11"
"20170713","목","23","부산광역시","동구","범일동","5"
"20170713","목","23","부산광역시","동래구","명륜동","7"
"20170713","목","23","부산광역시","동래구","사직동","5"
"20170713","목","23","부산광역시","동래구","안락동","7"
"20170713","목","23","부산광역시","동래구","온천동","5"
"20170713","목","23","부산광역시","부산진구","범천동","5"
"20170713","목","23","부산광역시","부산진구","부암동","18"
"20170713","목","23","부산광역시","부산진구","부전동","5"
"20170713","목","23","부산광역시","부산진구","연지동","5"
"20170713","목","23","부산광역시","부산진구","초읍동","5"
"20170713","목","23","부산광역시","북구","구포동","14"
"20170713","목","23","부산광역시","북구","만덕동","5"
"20170713","목","23","부산광역시","사상구","괘법동","5"
"20170713","목","23","부산광역시","사상구","주례동","5"
"20170713","목","23","부산광역시","사상구","학장동","8"
"20170713","목","23","부산광역시","사하구","신평동","10"
"20170713","목","23","부산광역시","사하구","장림동","5"
"20170713","목","23","부산광역시","서구","동대신동3가","5"
"20170713","목","23","부산광역시","서구","부민동1가","6"
"20170713","목","23","부산광역시","서구","부용동1가","5"
"20170713","목","23","부산광역시","서구","암남동","5"
"20170713","목","23","부산광역시","수영구","광안동","13"
"20170713","목","23","부산광역시","연제구","연산동","10"
"20170713","목","23","부산광역시","영도구","봉래동5가","5"
"20170713","목","23","부산광역시","영도구","영선동3가","5"
"20170713","목","23","부산광역시","해운대구","반여동","5"
"20170713","목","23","부산광역시","해운대구","송정동","5"
"20170713","목","23","부산광역시","해운대구","우동","16"
"20170713","목","23","부산광역시","해운대구","좌동","11"
"20170713","목","23","부산광역시","해운대구","중동","5"
"20170714","금","00","부산광역시","금정구","구서동","5"
"20170714","금","00","부산광역시","금정구","부곡동","7"
"20170714","금","00","부산광역시","금정구","장전동","5"
"20170714","금","00","부산광역시","기장군","기장읍","5"
"20170714","금","00","부산광역시","기장군","장안읍","5"
"20170714","금","00","부산광역시","기장군","정관면","5"
"20170714","금","00","부산광역시","기장군","정관읍","14"
"20170714","금","00","부산광역시","남구","대연동","6"
"20170714","금","00","부산광역시","동구","범일동","5"
"20170714","금","00","부산광역시","동구","수정동","5"
"20170714","금","00","부산광역시","동래구","명륜동","5"
"20170714","금","00","부산광역시","동래구","안락동","6"
"20170714","금","00","부산광역시","부산진구","부암동","13"
"20170714","금","00","부산광역시","부산진구","초읍동","5"
"20170714","금","00","부산광역시","북구","구포동","8"
"20170714","금","00","부산광역시","북구","덕천동","5"
"20170714","금","00","부산광역시","북구","만덕동","5"
"20170714","금","00","부산광역시","북구","화명동","5"
"20170714","금","00","부산광역시","사상구","괘법동","5"
"20170714","금","00","부산광역시","사상구","모라동","5"
"20170714","금","00","부산광역시","사상구","학장동","6"
"20170714","금","00","부산광역시","사하구","구평동","5"
"20170714","금","00","부산광역시","사하구","신평동","7"
"20170714","금","00","부산광역시","서구","부민동1가","11"
"20170714","금","00","부산광역시","서구","부용동1가","5"
"20170714","금","00","부산광역시","수영구","광안동","9"
"20170714","금","00","부산광역시","연제구","연산동","5"
"20170714","금","00","부산광역시","영도구","영선동3가","5"
"20170714","금","00","부산광역시","중구","영주동","5"
"20170714","금","00","부산광역시","해운대구","우동","7"
"20170714","금","00","부산광역시","해운대구","좌동","8"
"20170714","금","01","부산광역시","금정구","부곡동","5"
"20170714","금","01","부산광역시","기장군","장안읍","5"
"20170714","금","01","부산광역시","기장군","정관읍","5"
"20170714","금","01","부산광역시","남구","대연동","8"
"20170714","금","01","부산광역시","동래구","명륜동","5"
"20170714","금","01","부산광역시","동래구","사직동","5"
"20170714","금","01","부산광역시","동래구","온천동","5"
"20170714","금","01","부산광역시","부산진구","범전동","5"
"20170714","금","01","부산광역시","부산진구","부암동","7"
"20170714","금","01","부산광역시","부산진구","전포동","5"
"20170714","금","01","부산광역시","부산진구","초읍동","5"
"20170714","금","01","부산광역시","북구","구포동","5"
"20170714","금","01","부산광역시","북구","만덕동","5"
"20170714","금","01","부산광역시","사상구","감전동","5"
"20170714","금","01","부산광역시","사상구","괘법동","5"
"20170714","금","01","부산광역시","사상구","학장동","5"
"20170714","금","01","부산광역시","사하구","신평동","5"
"20170714","금","01","부산광역시","사하구","하단동","5"
"20170714","금","01","부산광역시","서구","부민동1가","5"
"20170714","금","01","부산광역시","수영구","광안동","5"
"20170714","금","01","부산광역시","연제구","연산동","5"
"20170714","금","01","부산광역시","중구","중앙동3가","5"
"20170714","금","01","부산광역시","해운대구","반송동","5"
"20170714","금","01","부산광역시","해운대구","우동","6"
"20170714","금","01","부산광역시","해운대구","재송동","5"
"20170714","금","01","부산광역시","해운대구","좌동","5"
"20170714","금","01","부산광역시","해운대구","중동","5"
"20170714","금","02","부산광역시","금정구","부곡동","5"
"20170714","금","02","부산광역시","기장군","기장읍","5"
"20170714","금","02","부산광역시","기장군","정관읍","6"
"20170714","금","02","부산광역시","기장군","철마면","5"
"20170714","금","02","부산광역시","남구","대연동","6"
"20170714","금","02","부산광역시","남구","문현동","5"
"20170714","금","02","부산광역시","동구","범일동","5"
"20170714","금","02","부산광역시","동래구","안락동","5"
"20170714","금","02","부산광역시","동래구","온천동","5"
"20170714","금","02","부산광역시","부산진구","범전동","5"
"20170714","금","02","부산광역시","부산진구","부암동","7"
"20170714","금","02","부산광역시","부산진구","부전동","5"
"20170714","금","02","부산광역시","부산진구","양정동","5"
"20170714","금","02","부산광역시","북구","만덕동","5"
"20170714","금","02","부산광역시","사상구","괘법동","5"
"20170714","금","02","부산광역시","사상구","엄궁동","5"
"20170714","금","02","부산광역시","사상구","학장동","5"
"20170714","금","02","부산광역시","사하구","신평동","5"
"20170714","금","02","부산광역시","사하구","하단동","5"
"20170714","금","02","부산광역시","서구","부민동1가","5"
"20170714","금","02","부산광역시","서구","암남동","5"
"20170714","금","02","부산광역시","수영구","광안동","8"
"20170714","금","02","부산광역시","연제구","연산동","5"
"20170714","금","02","부산광역시","영도구","영선동3가","5"
"20170714","금","02","부산광역시","중구","중앙동3가","5"
"20170714","금","02","부산광역시","해운대구","반여동","5"
"20170714","금","02","부산광역시","해운대구","우동","5"
"20170714","금","02","부산광역시","해운대구","좌동","5"
"20170714","금","03","부산광역시","금정구","부곡동","5"
"20170714","금","03","부산광역시","기장군","장안읍","5"
"20170714","금","03","부산광역시","기장군","정관면","5"
"20170714","금","03","부산광역시","기장군","정관읍","6"
"20170714","금","03","부산광역시","남구","대연동","5"
"20170714","금","03","부산광역시","동래구","명륜동","5"
"20170714","금","03","부산광역시","동래구","안락동","5"
"20170714","금","03","부산광역시","부산진구","범전동","5"
"20170714","금","03","부산광역시","부산진구","부암동","7"
"20170714","금","03","부산광역시","부산진구","전포동","5"
